lens_id,text
TRUE_0000,This plant species demonstrates growth rate and root system as key native traits. Research sample 0
TRUE_0001,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 1
TRUE_0002,This plant species demonstrates growth rate and soil adaptation as key native traits. Research sample 2
TRUE_0003,This plant species demonstrates pest tolerance and soil adaptation as key native traits. Research sample 3
TRUE_0004,This plant species demonstrates soil adaptation and pest tolerance as key native traits. Research sample 4
TRUE_0005,This plant species demonstrates drought resistance and nutrient efficiency as key native traits. Research sample 5
TRUE_0006,This plant species demonstrates root system and flowering pattern as key native traits. Research sample 6
TRUE_0007,This plant species demonstrates root system and soil adaptation as key native traits. Research sample 7
TRUE_0008,This plant species demonstrates pest tolerance and growth rate as key native traits. Research sample 8
TRUE_0009,This plant species demonstrates pest tolerance and nutrient efficiency as key native traits. Research sample 9
TRUE_0010,This plant species demonstrates growth rate and seed dispersal as key native traits. Research sample 10
TRUE_0011,This plant species demonstrates cold hardiness and pest tolerance as key native traits. Research sample 11
TRUE_0012,This plant species demonstrates drought resistance and root system as key native traits. Research sample 12
TRUE_0013,This plant species demonstrates nutrient efficiency and nutrient efficiency as key native traits. Research sample 13
TRUE_0014,This plant species demonstrates soil adaptation and seed dispersal as key native traits. Research sample 14
TRUE_0015,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 15
TRUE_0016,This plant species demonstrates drought resistance and root system as key native traits. Research sample 16
TRUE_0017,This plant species demonstrates drought resistance and drought resistance as key native traits. Research sample 17
TRUE_0018,This plant species demonstrates root system and pest tolerance as key native traits. Research sample 18
TRUE_0019,This plant species demonstrates soil adaptation and flowering pattern as key native traits. Research sample 19
TRUE_0020,This plant species demonstrates drought resistance and soil adaptation as key native traits. Research sample 20
TRUE_0021,This plant species demonstrates nutrient efficiency and cold hardiness as key native traits. Research sample 21
TRUE_0022,This plant species demonstrates soil adaptation and root system as key native traits. Research sample 22
TRUE_0023,This plant species demonstrates nutrient efficiency and drought resistance as key native traits. Research sample 23
TRUE_0024,This plant species demonstrates cold hardiness and growth rate as key native traits. Research sample 24
TRUE_0025,This plant species demonstrates growth rate and flowering pattern as key native traits. Research sample 25
TRUE_0026,This plant species demonstrates nutrient efficiency and pest tolerance as key native traits. Research sample 26
TRUE_0027,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 27
TRUE_0028,This plant species demonstrates soil adaptation and drought resistance as key native traits. Research sample 28
TRUE_0029,This plant species demonstrates growth rate and growth rate as key native traits. Research sample 29
TRUE_0030,This plant species demonstrates drought resistance and drought resistance as key native traits. Research sample 30
TRUE_0031,This plant species demonstrates root system and cold hardiness as key native traits. Research sample 31
TRUE_0032,This plant species demonstrates seed dispersal and root system as key native traits. Research sample 32
TRUE_0033,This plant species demonstrates seed dispersal and flowering pattern as key native traits. Research sample 33
TRUE_0034,This plant species demonstrates cold hardiness and cold hardiness as key native traits. Research sample 34
TRUE_0035,This plant species demonstrates flowering pattern and flowering pattern as key native traits. Research sample 35
TRUE_0036,This plant species demonstrates growth rate and cold hardiness as key native traits. Research sample 36
TRUE_0037,This plant species demonstrates nutrient efficiency and root system as key native traits. Research sample 37
TRUE_0038,This plant species demonstrates soil adaptation and soil adaptation as key native traits. Research sample 38
TRUE_0039,This plant species demonstrates flowering pattern and seed dispersal as key native traits. Research sample 39
TRUE_0040,This plant species demonstrates soil adaptation and soil adaptation as key native traits. Research sample 40
TRUE_0041,This plant species demonstrates soil adaptation and nutrient efficiency as key native traits. Research sample 41
TRUE_0042,This plant species demonstrates soil adaptation and growth rate as key native traits. Research sample 42
TRUE_0043,This plant species demonstrates pest tolerance and growth rate as key native traits. Research sample 43
TRUE_0044,This plant species demonstrates growth rate and soil adaptation as key native traits. Research sample 44
TRUE_0045,This plant species demonstrates root system and pest tolerance as key native traits. Research sample 45
TRUE_0046,This plant species demonstrates nutrient efficiency and nutrient efficiency as key native traits. Research sample 46
TRUE_0047,This plant species demonstrates drought resistance and flowering pattern as key native traits. Research sample 47
TRUE_0048,This plant species demonstrates nutrient efficiency and pest tolerance as key native traits. Research sample 48
TRUE_0049,This plant species demonstrates seed dispersal and soil adaptation as key native traits. Research sample 49
TRUE_0050,This plant species demonstrates drought resistance and pest tolerance as key native traits. Research sample 50
TRUE_0051,This plant species demonstrates pest tolerance and cold hardiness as key native traits. Research sample 51
TRUE_0052,This plant species demonstrates root system and seed dispersal as key native traits. Research sample 52
TRUE_0053,This plant species demonstrates cold hardiness and soil adaptation as key native traits. Research sample 53
TRUE_0054,This plant species demonstrates root system and soil adaptation as key native traits. Research sample 54
TRUE_0055,This plant species demonstrates nutrient efficiency and drought resistance as key native traits. Research sample 55
TRUE_0056,This plant species demonstrates drought resistance and soil adaptation as key native traits. Research sample 56
TRUE_0057,This plant species demonstrates seed dispersal and pest tolerance as key native traits. Research sample 57
TRUE_0058,This plant species demonstrates growth rate and root system as key native traits. Research sample 58
TRUE_0059,This plant species demonstrates drought resistance and growth rate as key native traits. Research sample 59
TRUE_0060,This plant species demonstrates cold hardiness and pest tolerance as key native traits. Research sample 60
TRUE_0061,This plant species demonstrates flowering pattern and seed dispersal as key native traits. Research sample 61
TRUE_0062,This plant species demonstrates pest tolerance and root system as key native traits. Research sample 62
TRUE_0063,This plant species demonstrates root system and growth rate as key native traits. Research sample 63
TRUE_0064,This plant species demonstrates drought resistance and nutrient efficiency as key native traits. Research sample 64
TRUE_0065,This plant species demonstrates seed dispersal and cold hardiness as key native traits. Research sample 65
TRUE_0066,This plant species demonstrates drought resistance and flowering pattern as key native traits. Research sample 66
TRUE_0067,This plant species demonstrates pest tolerance and drought resistance as key native traits. Research sample 67
TRUE_0068,This plant species demonstrates cold hardiness and flowering pattern as key native traits. Research sample 68
TRUE_0069,This plant species demonstrates root system and drought resistance as key native traits. Research sample 69
TRUE_0070,This plant species demonstrates growth rate and nutrient efficiency as key native traits. Research sample 70
TRUE_0071,This plant species demonstrates soil adaptation and soil adaptation as key native traits. Research sample 71
TRUE_0072,This plant species demonstrates flowering pattern and growth rate as key native traits. Research sample 72
TRUE_0073,This plant species demonstrates cold hardiness and root system as key native traits. Research sample 73
TRUE_0074,This plant species demonstrates root system and seed dispersal as key native traits. Research sample 74
TRUE_0075,This plant species demonstrates soil adaptation and cold hardiness as key native traits. Research sample 75
TRUE_0076,This plant species demonstrates drought resistance and soil adaptation as key native traits. Research sample 76
TRUE_0077,This plant species demonstrates flowering pattern and cold hardiness as key native traits. Research sample 77
TRUE_0078,This plant species demonstrates nutrient efficiency and flowering pattern as key native traits. Research sample 78
TRUE_0079,This plant species demonstrates nutrient efficiency and nutrient efficiency as key native traits. Research sample 79
TRUE_0080,This plant species demonstrates soil adaptation and root system as key native traits. Research sample 80
TRUE_0081,This plant species demonstrates cold hardiness and growth rate as key native traits. Research sample 81
TRUE_0082,This plant species demonstrates root system and growth rate as key native traits. Research sample 82
TRUE_0083,This plant species demonstrates growth rate and flowering pattern as key native traits. Research sample 83
TRUE_0084,This plant species demonstrates drought resistance and pest tolerance as key native traits. Research sample 84
TRUE_0085,This plant species demonstrates cold hardiness and cold hardiness as key native traits. Research sample 85
TRUE_0086,This plant species demonstrates growth rate and drought resistance as key native traits. Research sample 86
TRUE_0087,This plant species demonstrates flowering pattern and pest tolerance as key native traits. Research sample 87
TRUE_0088,This plant species demonstrates cold hardiness and root system as key native traits. Research sample 88
TRUE_0089,This plant species demonstrates nutrient efficiency and nutrient efficiency as key native traits. Research sample 89
TRUE_0090,This plant species demonstrates nutrient efficiency and seed dispersal as key native traits. Research sample 90
TRUE_0091,This plant species demonstrates drought resistance and root system as key native traits. Research sample 91
TRUE_0092,This plant species demonstrates soil adaptation and cold hardiness as key native traits. Research sample 92
TRUE_0093,This plant species demonstrates pest tolerance and nutrient efficiency as key native traits. Research sample 93
TRUE_0094,This plant species demonstrates root system and flowering pattern as key native traits. Research sample 94
TRUE_0095,This plant species demonstrates pest tolerance and drought resistance as key native traits. Research sample 95
TRUE_0096,This plant species demonstrates cold hardiness and growth rate as key native traits. Research sample 96
TRUE_0097,This plant species demonstrates nutrient efficiency and root system as key native traits. Research sample 97
TRUE_0098,This plant species demonstrates cold hardiness and flowering pattern as key native traits. Research sample 98
TRUE_0099,This plant species demonstrates soil adaptation and soil adaptation as key native traits. Research sample 99
